name,version,filename,curseforge_slug,modrinth_project_id,modrinth_version_id
AE2 Crafting Tree,1.1.1,ae2ct-1.21.1-1.1.1.jar,ae2-crafting-tree,,
AE2 JEI Integration,1.2.1,ae2jeiintegration-1.2.1.jar,ae2-jei-integration,,
Amendments,2.1.7,amendments-neoforge-1.21-2.1.7.jar,amendments,6iTJugQR,BoGvkmKs
AppleSkin,3.0.9,appleskin-neoforge-mc1.21-3.0.9.jar,appleskin,EsAfCjCV,uAKA6Laj
Applied Energistics 2,19.2.17,appliedenergistics2-19.2.17.jar,applied-energistics-2,XxWD5pD3,kfyIqgJ6
AquaCompat,0.1.1,aquacompat-0.1.1.jar,aquacompat,,
Aquaculture 2,2.7.21,Aquaculture-1.21.1-2.7.21.jar,aquaculture,Vl1uNAuy,5pbz0ETj
Aquaculture 2 Lava Fishing Addon,1.0.0,Aquaculture2LavaFishingAddon-1.21.1-1.0.0.jar,aquaculture-2-lava-fishing-addon,CSFxt0U5,8BJZsbEo
Aquaculture Delight,1.2.0,aquaculturedelight-1.2.0-neoforge-1.21.1.jar,aquaculture-delight,U9GJqWrI,VFpyJiVp
Balm,21.0.63,balm-neoforge-1.21.1-21.0.63.jar,balm,,
Building Gadgets 2,1.3.9,buildinggadgets2-1.3.9.jar,building-gadgets,,
Cobweb,1.4.0,cobweb-neoforge-1.21-1.4.0.jar,cobweb,dQcfqGbl,c10AZba0
Configured,2.6.3,configured-neoforge-1.21.1-2.6.3.jar,configured,,
Configured Defaults,21.1.3,ConfiguredDefaults-v21.1.3-1.21.1-NeoForge.jar,configured-defaults,SISoSFPP,HJxTPhTM
Crafting Tweaks,21.1.10,craftingtweaks-neoforge-1.21.1-21.1.10.jar,crafting-tweaks,,
Create Blazing Hot,0.7.4,create_blazing_hot-0.7.4+neoforge-mc1.21.1.jar,create-blazing-hot,LmT6oZrX,V9HyDSFg
Create,6.0.10,create-1.21.1-6.0.10.jar,create,LNytGWDc,UjX6dr61
Curios API,9.5.1,curios-neoforge-9.5.1+1.21.1.jar,curios,vvuO3ImH,yohfFbgD
